inst#,actual,predicted,error,prediction
1,1:no,1:no,,0.793
2,1:no,1:no,,0.735
3,1:no,1:no,,0.605
4,1:no,1:no,,0.616
5,1:no,1:no,,0.573
6,1:no,1:no,,0.772
7,1:no,1:no,,0.769
8,1:no,1:no,,0.573
9,1:no,1:no,,0.587
10,1:no,1:no,,0.544
11,1:no,1:no,,0.831
12,1:no,1:no,,0.644
13,1:no,1:no,,0.589
14,1:no,2:yes,+,0.637
15,2:yes,2:yes,,0.683
16,2:yes,2:yes,,0.664
17,2:yes,2:yes,,0.67
18,1:no,1:no,,0.826
19,1:no,1:no,,0.532
20,1:no,2:yes,+,0.53
21,1:no,2:yes,+,0.511
22,1:no,2:yes,+,0.561
23,1:no,1:no,,0.813
24,1:no,1:no,,0.768
25,1:no,1:no,,0.579
26,1:no,1:no,,0.577
27,1:no,1:no,,0.522
28,1:no,1:no,,0.826
29,1:no,1:no,,0.721
30,1:no,1:no,,0.525
31,1:no,1:no,,0.519
32,1:no,2:yes,+,0.532
33,1:no,1:no,,0.836
34,1:no,1:no,,0.705
35,1:no,1:no,,0.541
36,1:no,1:no,,0.534
37,1:no,2:yes,+,0.518
38,1:no,1:no,,0.837
39,1:no,1:no,,0.729
40,1:no,1:no,,0.558
41,1:no,1:no,,0.577
42,1:no,1:no,,0.527
43,1:no,1:no,,0.856
44,1:no,1:no,,0.693
45,1:no,1:no,,0.663
46,1:no,1:no,,0.658
47,1:no,1:no,,0.603
48,1:no,1:no,,0.863
49,1:no,1:no,,0.655
50,1:no,1:no,,0.596
51,1:no,1:no,,0.61
52,1:no,1:no,,0.57
53,1:no,1:no,,0.867
54,1:no,1:no,,0.687
55,1:no,1:no,,0.626
56,1:no,1:no,,0.633
57,1:no,1:no,,0.588
58,1:no,1:no,,0.873
59,1:no,1:no,,0.654
60,1:no,1:no,,0.639
61,1:no,1:no,,0.645
62,1:no,1:no,,0.592
63,1:no,1:no,,0.785
64,1:no,1:no,,0.555
65,1:no,1:no,,0.809
66,1:no,1:no,,0.708
67,1:no,2:yes,+,0.536
68,1:no,1:no,,0.685
69,1:no,2:yes,+,0.609
70,1:no,1:no,,0.685
71,1:no,2:yes,+,0.609
72,1:no,1:no,,0.726
