@relation InstanceResultListener

@attribute Key_Dataset {learnng-weka.filters.unsupervised.instance.Randomize-S4522-weka.filters.unsupervised.attribute.Remove-R1}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.bayes.NaiveBayes,weka.classifiers.bayes.BayesNet,weka.classifiers.functions.SMO,weka.classifiers.trees.J48,weka.classifiers.trees.RandomTree,weka.classifiers.trees.RandomForest}
@attribute Key_Scheme_options {'','-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5','-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\"','-C 0.25 -M 2','-K 0 -M 1.0 -V 0.001 -S 1','-I 100 -K 0 -S 1 -num-slots 1'}
@attribute Key_Scheme_version_ID {5995231201785697655,746037443258775954,-6585883636378691736,-217733168393644444,-9051119597407396024,1116839470751428698}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 13\nSize of the tree: 25\n','Number of leaves: 14\nSize of the tree: 27\n','Number of leaves: 11\nSize of the tree: 21\n','Number of leaves: 17\nSize of the tree: 33\n','Number of leaves: 15\nSize of the tree: 29\n','Number of leaves: 10\nSize of the tree: 19\n','Number of leaves: 18\nSize of the tree: 35\n','Number of leaves: 12\nSize of the tree: 23\n','Number of leaves: 8\nSize of the tree: 15\n','Number of leaves: 16\nSize of the tree: 31\n','Number of leaves: 9\nSize of the tree: 17\n','Number of leaves: 19\nSize of the tree: 37\n'}
@attribute measureExtraArcs numeric
@attribute measureMissingArcs numeric
@attribute measureReversedArcs numeric
@attribute measureDivergence numeric
@attribute measureBayesScore numeric
@attribute measureBDeuScore numeric
@attribute measureMDLScore numeric
@attribute measureAICScore numeric
@attribute measureEntropyScore numeric
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric
@attribute measureOutOfBagError numeric

@data

learnng-weka.filters.unsupervised.instance.Randomize-S4522-weka.filters.unsupervised.attribute.Remove-R1,1,1,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20161104.1051,586,66,61,5,0,92.424242,7.575758,0,0.8944,0.044202,0.193564,12.339747,45.780137,124.594974,48.308219,76.286754,1.887803,0.731943,1.15586,110.747889,1.677998,5831.637001,1,24,0.047619,2,0.952381,40,0,0,0.923077,1,0.96,0.937614,0.979167,0.927807,0.924242,0.022709,0.977291,0.075758,0.94021,0.924242,0.921845,0.906934,0.975758,0.951648,0.899586,0.924242,0.002,0.003,0,0,0,0,9903,136829,17749,93.939394,27.272727,?,?,?,?,?,?,?,?,?,?,?,?,?,?
learnng-weka.filters.unsupervised.instance.Randomize-S4522-weka.filters.unsupervised.attribute.Remove-R1,1,2,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20161104.1051,586,66,63,3,0,95.454545,4.545455,0,0.936599,0.028122,0.133295,7.850825,31.525802,124.594974,13.405604,111.189369,1.887803,0.203115,1.684687,116.558059,1.766031,6137.582338,0.958333,23,0.02381,1,0.97619,41,0.041667,1,0.958333,0.958333,0.958333,0.934524,0.998016,0.996597,0.954545,0.015304,0.984696,0.045455,0.955429,0.954545,0.954317,0.938033,0.995945,0.991187,0.948723,0.954545,0.002,0.003,0,0,0,0,9903,136829,17749,98.484848,27.651515,?,?,?,?,?,?,?,?,?,?,?,?,?,?
learnng-weka.filters.unsupervised.instance.Randomize-S4522-weka.filters.unsupervised.attribute.Remove-R1,1,3,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20161104.1051,587,65,62,3,0,95.384615,4.615385,0,0.935237,0.022696,0.129111,6.335905,30.534764,122.78741,30.729492,92.057918,1.889037,0.472761,1.416276,115.519436,1.777222,6083.378998,1,24,0,0,1,41,0,0,1,1,1,1,1,1,0.953846,0.015939,0.984061,0.046154,0.955656,0.953846,0.953954,0.940083,0.997572,0.991226,0.944153,0.953846,0.001,0.003,0,0,0,0,9903,137058,17520,96.923077,26.923077,?,?,?,?,?,?,?,?,?,?,?,?,?,?
learnng-weka.filters.unsupervised.instance.Randomize-S4522-weka.filters.unsupervised.attribute.Remove-R1,1,4,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20161104.1051,587,65,62,3,0,95.384615,4.615385,0,0.935707,0.033712,0.160852,9.389878,37.94555,123.799654,43.01218,80.787473,1.90461,0.661726,1.242884,113.176551,1.741178,5965.399111,1,24,0,0,1,41,0,0,1,1,1,1,1,1,0.953846,0.012667,0.987333,0.046154,0.953557,0.953846,0.953258,0.941668,0.991168,0.973002,0.936131,0.953846,0.001,0.004,0,0.0156,0,15.6001,9903,137058,17520,95.384615,26.923077,?,?,?,?,?,?,?,?,?,?,?,?,?,?
learnng-weka.filters.unsupervised.instance.Randomize-S4522-weka.filters.unsupervised.attribute.Remove-R1,1,5,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20161104.1051,587,65,62,3,0,95.384615,4.615385,0,0.93558,0.034121,0.161013,9.503723,37.983571,123.799654,37.579133,86.22052,1.90461,0.578141,1.32647,113.904793,1.752381,6003.783874,1,24,0,0,1,41,0,0,1,1,1,1,1,1,0.953846,0.017676,0.982324,0.046154,0.96044,0.953846,0.953057,0.940851,0.975031,0.954985,0.952991,0.953846,0.001,0.002,0,0,0,0,9903,137058,17520,95.384615,27.692308,?,?,?,?,?,?,?,?,?,?,?,?,?,?
learnng-weka.filters.unsupervised.instance.Randomize-S4522-weka.filters.unsupervised.attribute.Remove-R1,1,6,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20161104.1051,587,65,61,4,0,93.846154,6.153846,0,0.913907,0.039391,0.16699,10.971695,39.39354,123.799654,518.372984,-394.57333,1.90461,7.974969,-6.070359,111.22936,1.711221,5862.765057,1,24,0.02439,1,0.97561,40,0,0,0.96,1,0.979592,0.967773,0.997967,0.996597,0.938462,0.024128,0.975872,0.061538,0.939077,0.938462,0.938106,0.917879,0.980753,0.972251,0.931009,0.938462,0.001,0.002,0,0,0,0,9903,137058,17520,96.923077,28.076923,?,?,?,?,?,?,?,?,?,?,?,?,?,?
learnng-weka.filters.unsupervised.instance.Randomize-S4522-weka.filters.unsupervised.attribute.Remove-R1,1,7,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20161104.1051,587,65,63,2,0,96.923077,3.076923,0,0.957152,0.022052,0.115158,6.132936,27.119904,124.155668,10.031795,114.123874,1.910087,0.154335,1.755752,117.949142,1.814602,6218.925266,1,23,0.02381,1,0.97619,41,0,0,0.958333,1,0.978723,0.967221,1,1,0.969231,0.014779,0.985221,0.030769,0.970641,0.969231,0.968493,0.957779,0.997819,0.994359,0.970413,0.969231,0.001,0.002,0,0.0156,0,15.6001,9903,137058,17520,98.461538,28.076923,?,?,?,?,?,?,?,?,?,?,?,?,?,?
learnng-weka.filters.unsupervised.instance.Randomize-S4522-weka.filters.unsupervised.attribute.Remove-R1,1,8,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20161104.1051,587,65,60,5,0,92.307692,7.692308,0,0.892881,0.038097,0.179825,10.595147,42.349068,124.155668,69.912721,54.242947,1.910087,1.07558,0.834507,112.871822,1.73649,5951.221115,0.956522,22,0.02381,1,0.97619,41,0.043478,1,0.956522,0.956522,0.956522,0.932712,0.99793,0.996522,0.923077,0.032104,0.967896,0.076923,0.925524,0.923077,0.920492,0.894515,0.963789,0.949566,0.924541,0.923077,0.001,0.002,0,0,0,0,9903,137058,17520,95.384615,26.923077,?,?,?,?,?,?,?,?,?,?,?,?,?,?
learnng-weka.filters.unsupervised.instance.Randomize-S4522-weka.filters.unsupervised.attribute.Remove-R1,1,9,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20161104.1051,587,65,62,3,0,95.384615,4.615385,0,0.935043,0.028756,0.1499,8.035474,35.49074,122.501484,41.73068,80.770804,1.884638,0.64201,1.242628,112.475936,1.730399,5921.612435,1,24,0,0,1,41,0,0,1,1,1,1,1,1,0.953846,0.013846,0.986154,0.046154,0.961538,0.953846,0.953172,0.944431,0.997008,0.988331,0.928849,0.953846,0.002,0.002,0,0,0,0,9903,137058,17520,95.384615,26.538462,?,?,?,?,?,?,?,?,?,?,?,?,?,?
