ArticleId,PMCid,TableName,SpecPragmatics,CellContent,Header,Stub,SuperRow,rowN,columnN,function,hasGender
352,1764757,Table 1,BaselineCharacteristic,,,None,None,0,0,12,no
352,1764757,Table 1,BaselineCharacteristic,,,,None,0,1,1,no
352,1764757,Table 1,BaselineCharacteristic,Cilengitide + Gemcitabine n = xx,,,None,0,2,1,no
352,1764757,Table 1,BaselineCharacteristic,Gemcitabine n = xx,,,None,0,3,1,no
352,1764757,Table 1,BaselineCharacteristic,Total n = xx,,,None,0,4,1,no
352,1764757,Table 1,BaselineCharacteristic,"Age, years", ; ,"Age, years",,1,0,24,no
352,1764757,Table 1,BaselineCharacteristic,Median, ; ,"Age, years",,1,1,43,no
352,1764757,Table 1,BaselineCharacteristic,xx,Cilengitide + Gemcitabine n = xx ; ,"Age, years",,1,2,43,no
352,1764757,Table 1,BaselineCharacteristic,xx,Gemcitabine n = xx ; ,"Age, years",,1,3,43,no
352,1764757,Table 1,BaselineCharacteristic,xx,Total n = xx ; ,"Age, years",,1,4,43,no
352,1764757,Table 1,BaselineCharacteristic,, ; ,,,2,0,2,no
352,1764757,Table 1,BaselineCharacteristic,Range, ; ,,,2,1,3,no
352,1764757,Table 1,BaselineCharacteristic,"Gender (n, %)", ; ,"Gender (n, %)",,3,0,24,no
352,1764757,Table 1,BaselineCharacteristic,Male, ; ,"Gender (n, %)",,3,1,43,no
352,1764757,Table 1,BaselineCharacteristic,xx (xx%),Cilengitide + Gemcitabine n = xx ; ,"Gender (n, %)",,3,2,43,yes
352,1764757,Table 1,BaselineCharacteristic,xx (xx%),Gemcitabine n = xx ; ,"Gender (n, %)",,3,3,43,yes
352,1764757,Table 1,BaselineCharacteristic,xx (xx%),Total n = xx ; ,"Gender (n, %)",,3,4,43,yes
352,1764757,Table 1,BaselineCharacteristic,, ; ,,,4,0,2,no
352,1764757,Table 1,BaselineCharacteristic,Female, ; ,,,4,1,3,no
352,1764757,Table 1,BaselineCharacteristic,xx (xx%),Cilengitide + Gemcitabine n = xx ; ,,,4,2,3,no
352,1764757,Table 1,BaselineCharacteristic,xx (xx%),Gemcitabine n = xx ; ,,,4,3,3,no
352,1764757,Table 1,BaselineCharacteristic,xx (xx%),Total n = xx ; ,,,4,4,3,no
352,1764757,Table 1,BaselineCharacteristic,Stage, ; ,Stage,,5,0,24,no
352,1764757,Table 1,BaselineCharacteristic,III, ; ,Stage,,5,1,43,no
352,1764757,Table 1,BaselineCharacteristic,x (x%),Cilengitide + Gemcitabine n = xx ; ,Stage,,5,2,43,no
352,1764757,Table 1,BaselineCharacteristic,x (x%),Gemcitabine n = xx ; ,Stage,,5,3,43,no
352,1764757,Table 1,BaselineCharacteristic,x (x%),Total n = xx ; ,Stage,,5,4,43,no
352,1764757,Table 1,BaselineCharacteristic,, ; ,,,6,0,2,no
352,1764757,Table 1,BaselineCharacteristic,IV, ; ,,,6,1,3,no
352,1764757,Table 1,BaselineCharacteristic,x (x%),Cilengitide + Gemcitabine n = xx ; ,,,6,2,3,no
