@relation learnng-weka.filters.unsupervised.instance.Randomize-S4522-weka.filters.unsupervised.attribute.Remove-R1

@attribute NoRows numeric
@attribute NoColumn numeric
@attribute TotalCellNo numeric
@attribute CellEmpty numeric
@attribute CellNumeric numeric
@attribute CellSemiNumeric numeric
@attribute CellText numeric
@attribute ContainsAdverse numeric
@attribute containsAge numeric
@attribute containsBaseline numeric
@attribute containsCharacteristicCap numeric
@attribute containsDemographic numeric
@attribute ContainsExclusion numeric
@attribute ContainsInclusion numeric
@attribute containsN numeric
@attribute containsPatientsCap numeric
@attribute containsPatientsCell numeric
@attribute ContainsSideEffect numeric
@attribute ContainsSignOrSymptomAnnotation numeric
@attribute containsEglibility numeric
@attribute containsToxicity numeric
@attribute containsInclusionExclusionCell numeric
@attribute containsHaematologic numeric
@attribute containsTrialCap numeric
@attribute clas {AdverseEvent,InclusionExclusion,Other,BaselineCharacteristic}

@data
35,8,280,56.071429,18.571429,8.928571,16.428571,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,AdverseEvent
21,6,126,1.587302,28.571429,34.920635,34.920635,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,BaselineCharacteristic
9,3,27,0,0,51.851852,48.148148,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,AdverseEvent
12,4,48,0,2.083333,45.833333,52.083333,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,Other
36,7,252,47.619048,26.984127,13.492063,11.904762,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,AdverseEvent
7,8,56,1.785714,0,53.571429,44.642857,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,AdverseEvent
15,5,75,25.333333,48,0,26.666667,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,AdverseEvent
15,2,30,6.666667,0,40,53.333333,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,Other
23,9,207,45.410628,0,26.570048,28.019324,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,AdverseEvent
9,9,81,1.234568,13.580247,64.197531,20.987654,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,AdverseEvent
11,2,22,0,0,0,100,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,InclusionExclusion
12,2,24,16.666667,0,0,83.333333,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,Other
12,6,72,8.333333,33.333333,22.222222,36.111111,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other
9,1,9,0,0,0,100,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,InclusionExclusion
21,7,147,24.489796,18.367347,30.612245,26.530612,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,AdverseEvent
15,4,60,8.333333,33.333333,16.666667,41.666667,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,AdverseEvent
7,5,35,0,34.285714,51.428571,14.285714,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Other
6,6,36,2.777778,55.555556,0,41.666667,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,AdverseEvent
7,4,28,3.571429,17.857143,32.142857,46.428571,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,AdverseEvent
24,6,144,24.305556,34.027778,4.166667,37.5,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,BaselineCharacteristic
22,3,66,45.454545,33.333333,0,21.212121,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,AdverseEvent
5,2,10,20,0,0,80,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,InclusionExclusion
9,5,45,6.666667,24.444444,40,28.888889,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Other
14,4,56,1.785714,16.071429,35.714286,46.428571,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,BaselineCharacteristic
18,8,144,29.166667,37.5,16.666667,16.666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other
22,3,66,27.272727,18.181818,12.121212,42.424242,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,BaselineCharacteristic
16,5,80,11.25,0,51.25,37.5,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,BaselineCharacteristic
31,5,155,18.709677,1.290323,50.322581,29.677419,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,BaselineCharacteristic
16,6,96,3.125,9.375,58.333333,29.166667,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,AdverseEvent
8,2,16,6.25,0,0,93.75,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,InclusionExclusion
7,5,35,2.857143,68.571429,0,28.571429,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,AdverseEvent
17,9,153,0,20.915033,10.457516,68.627451,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,AdverseEvent
8,4,32,0,53.125,0,46.875,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,AdverseEvent
21,6,126,21.428571,14.285714,42.857143,21.428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other
31,2,62,12.903226,4.83871,35.483871,46.774194,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,BaselineCharacteristic
12,3,36,2.777778,5.555556,44.444444,47.222222,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,BaselineCharacteristic
38,5,190,26.315789,0,52.631579,21.052632,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,AdverseEvent
15,5,75,10.666667,28,28,33.333333,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,BaselineCharacteristic
12,5,60,0,45,15,40,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,AdverseEvent
2,1,2,50,0,0,50,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,InclusionExclusion
34,4,136,33.823529,0,30.882353,35.294118,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,AdverseEvent
15,4,60,8.333333,15,0,76.666667,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,AdverseEvent
7,5,35,5.714286,22.857143,28.571429,42.857143,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,BaselineCharacteristic
14,2,28,10.714286,0,0,89.285714,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,InclusionExclusion
11,8,88,0,67.045455,4.545455,28.409091,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,AdverseEvent
9,8,72,5.555556,47.222222,9.722222,37.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AdverseEvent
9,11,99,0,80.808081,0,19.191919,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,BaselineCharacteristic
32,2,64,6.25,0,37.5,56.25,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,BaselineCharacteristic
29,5,145,11.034483,1.37931,62.068966,25.517241,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,BaselineCharacteristic
22,3,66,6.060606,39.393939,12.121212,42.424242,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,AdverseEvent
8,3,24,16.666667,33.333333,16.666667,33.333333,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,BaselineCharacteristic
15,5,75,20,25.333333,14.666667,40,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,AdverseEvent
14,8,112,3.571429,58.928571,8.928571,28.571429,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,AdverseEvent
34,10,340,47.058824,0,31.764706,21.176471,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,AdverseEvent
36,7,252,34.126984,50,1.190476,14.68254,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,BaselineCharacteristic
33,3,99,27.272727,28.282828,0,44.444444,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,AdverseEvent
42,4,168,32.142857,15.47619,29.166667,23.214286,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,AdverseEvent
10,5,50,28,32,2,38,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,AdverseEvent
14,7,98,1.020408,0,40.816327,58.163265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other
2,2,3,0,0,0,100,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,InclusionExclusion
10,3,30,16.666667,40,0,43.333333,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,InclusionExclusion
39,1,39,0,0,0,100,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1,InclusionExclusion
5,3,15,0,53.333333,0,46.666667,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,AdverseEvent
62,7,434,54.147465,0,27.880184,17.97235,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,Other
8,4,32,6.25,43.75,15.625,34.375,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,AdverseEvent
8,5,40,40,15,15,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other
21,4,84,3.571429,3.571429,64.285714,28.571429,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other
21,7,147,14.965986,68.027211,0,17.006803,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,AdverseEvent
16,3,48,16.666667,16.666667,29.166667,37.5,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,BaselineCharacteristic
23,5,115,15.652174,53.913043,0,30.434783,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,AdverseEvent
19,5,95,21.052632,11.578947,40,27.368421,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,BaselineCharacteristic
13,5,65,26.153846,0,49.230769,24.615385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other
