@relation learnngCellDatasetAge-weka.filters.unsupervised.attribute.Remove-R1-4-weka.filters.supervised.instance.Resample-B1.0-S1-Z3.0

@attribute CellContent string
@attribute Header string
@attribute Stub string
@attribute SuperRow string
@attribute rowN numeric
@attribute columnN numeric
@attribute function numeric
@attribute hasAge {No,yes}

@data
'aSynchronous presentation',' ; ','aSynchronous presentation',None,7,0,2,No
'xx-yr OS','Overall Survival ± SE (\%) ;  ; ',Protocol,None,2,7,1,No
'xx\%','Study sites ;  ; Low transmission ;  ; Andasibe ; xxx ;  ; xx.x ;  ; x.xx ;  ; xx ;  ; ',None,None,13,4,?,No
x.xx,'p value ; p value ; ','BMI (kg/mx), mean?±?SD',' Gender',8,3,3,No
-,'Early complicationsx ; ',xx,None,11,6,3,No
–,'Daily phenprocoumon dose, mg ; ',?,' CYPxCx',9,2,3,No
?,'Ethnicity ; Caucasian ; ',None,None,2,3,?,No
M,'Gender ; M ;  ; M ;  ; M ;  ; M ;  ; M ;  ; M ;  ; M ;  ; M ;  ; M ;  ; M ;  ; M ;  ; M ;  ; M ;  ; ',None,None,27,2,?,No
x,?,'(Group x)',?,8,4,3,No
'x,xxx/xxxI','Cum. activity (MBq)/nuclide ; ',xx,' Serial FET PET monitoring started after the end of RIT',3,5,3,No
Characteristics,?,None,None,0,0,12,No
?,'Erlotinib ; \% ;  ;  ;  ; ',None,None,16,4,?,No
'Long shaft','Patient I ; ','Femoral device',None,4,1,3,No
'x (x.x)','Value ; ',?,' Indication for anticoagulation, n (\%)',30,1,3,No
x.x-x.x,'Range ; ','xe. Remembering the dose that was prescribed by the doctor',None,6,6,3,No
MU/Gy,' ; ',MU/Gy,None,6,0,2,No
xx,'APACHE II score ; ',xx,None,15,4,3,No
Age,?,Patient,None,0,1,1,No
R,'Failure ; ',xx,?,17,9,3,No
x.x-x.x,'Range ; ','xd. Removing the air bubbles',None,5,6,3,No
?Adjuvant,?,?Adjuvant,' Previous endocrine therapy',20,0,2,No
?,'xxx ?g ; x ; ','Lung + x other visceral organ',?,37,4,3,No
