ArticleId,PMCid,TableName,SpecPragmatics,CellContent,Header,Stub,SuperRow,rowN,columnN,function,hasAge,actual,predicted,error,prediction
19,1090597,Table 1,BaselineCharacteristic,xx.x (xx.x),n (%) ; ,None,None,20,1,,yes,2:yes,1:No,+,0.62
2811,2758901,Table 1,BaselineCharacteristic,xx-xx,Gefitinib ; No ;  ; xxx ;  ; ,?Range, ,15,1,,yes,2:yes,1:No,+,0.567
2811,2758901,Table 1,BaselineCharacteristic,xx-xx,Erlotinib ; No ;  ; xx ;  ; ,?Range, ,15,3,,yes,2:yes,1:No,+,0.543
2864,2774660,Table 1,BaselineCharacteristic,x.x,Total ; ,Age (years),None,4,1,3,yes,2:yes,1:No,+,0.56
2864,2774660,Table 1,BaselineCharacteristic,x.x,Phase x - treatment ; ,Age (years),None,4,2,3,yes,2:yes,1:No,+,0.51
3308,2905428,Table 1,BaselineCharacteristic,xx,No (%) ; ,, Age,3,2,3,yes,2:yes,1:No,+,0.551
4246,3165084,Table 1,BaselineCharacteristic,xx–xx,Number(percent) ; xx(xxx) ;  ; ,,,4,1,,yes,2:yes,1:No,+,0.504
4585,3247194,Table 1,BaselineCharacteristic,xx.x (x.x),COPD Subjects ; xxx ;  ; ,None,None,3,2,,yes,2:yes,1:No,+,0.576
4585,3247194,Table 1,BaselineCharacteristic,xx.x (x.x),Smoker Controls ; xx ;  ; ,None,None,3,3,,yes,2:yes,1:No,+,0.502
4585,3247194,Table 1,BaselineCharacteristic,xx.x (x.x),Non-smoker Controls ; xx ;  ; ,None,None,3,4,,yes,2:yes,1:No,+,0.505
19,1090597,Table 1,BaselineCharacteristic,xx (xx),n (%) ; ,Male,,2,1,,No,1:No,2:yes,+,0.512
19,1090597,Table 1,BaselineCharacteristic,xx (xx),n (%) ; ,Female,,3,1,,No,1:No,2:yes,+,0.502
164,1386704,Table 1,BaselineCharacteristic,xx.x ± xx.x,,"FVC% pred, x ± SD",None,2,1,3,No,1:No,2:yes,+,0.62
164,1386704,Table 1,BaselineCharacteristic,xx.x ± xx.x,,"FEVx%pred, x ± SD",None,3,1,3,No,1:No,2:yes,+,0.59
164,1386704,Table 1,BaselineCharacteristic,xx.x ± x.x,,"TLC% pred, x ± SD",None,4,1,3,No,1:No,2:yes,+,0.53
215,1488867,Table 1,BaselineCharacteristic,xx(xx%),n(%) ; ,?P. S x–x, Age (years),5,1,3,No,1:No,2:yes,+,0.63
309,1586008,Table 1,BaselineCharacteristic,x.xx ± x.x,N° (%) ; ,Mean Body Surface Area (mx),None,3,1,3,No,1:No,2:yes,+,0.52
449,1885552,Table 1,BaselineCharacteristic,Age (years),,Intervention group (number of subjects),None,0,1,1,No,1:No,2:yes,+,0.509
449,1885552,Table 1,BaselineCharacteristic,"xx,x ± xx,x",Weight (kp) ; ,Stretching (xx),None,1,2,3,No,1:No,2:yes,+,0.504
449,1885552,Table 1,BaselineCharacteristic,"xxx ± xx,x",Height (cm) ; ,Stretching (xx),None,1,3,3,No,1:No,2:yes,+,0.514
449,1885552,Table 1,BaselineCharacteristic,"xxx ± xx,x",Systolic blood pressure (mm Hg) ; ,Stretching (xx),None,1,4,3,No,1:No,2:yes,+,0.534
449,1885552,Table 1,BaselineCharacteristic,"xxx ± x,x",Height (cm) ; ,Strength (xx),None,2,3,3,No,1:No,2:yes,+,0.514
449,1885552,Table 1,BaselineCharacteristic,"xxx ± xx,x",Systolic blood pressure (mm Hg) ; ,Strength (xx),None,2,4,3,No,1:No,2:yes,+,0.524
