ArticleId,PMCid,TableName,SpecPragmatics,CellContent,Header,Stub,SuperRow,rowN,columnN,function,hasValue
25,1131894,Table 3,BaselineCharacteristic,xx,,Number,,0,1,3,yes
449,1885552,Table 1,BaselineCharacteristic,Stretching (xx),Intervention group (number of subjects) ; ,Stretching (xx),None,1,0,2,yes
449,1885552,Table 1,BaselineCharacteristic,Strength (xx),Intervention group (number of subjects) ; ,Strength (xx),None,2,0,2,yes
449,1885552,Table 1,BaselineCharacteristic,Vibration (xx),Intervention group (number of subjects) ; ,Vibration (xx),None,3,0,2,yes
1118,2204057,Table 1,BaselineCharacteristic,xx,N ; ,Group x,None,1,1,3,yes
1118,2204057,Table 1,BaselineCharacteristic,xx,N ; ,Group x,None,2,1,3,yes
1118,2204057,Table 1,BaselineCharacteristic,x,N ; ,Controls,None,3,1,3,yes
1118,2204057,Table 1,BaselineCharacteristic,xx,N ; ,TOTAL COHORT,None,4,1,3,yes
1233,2259321,Table 1,BaselineCharacteristic,xx (xx),Celecoxib Dose ;  ; xxx mg twice daily ;  ; NAF (plasma) ; ,Samples,,5,1,3,yes
1233,2259321,Table 1,BaselineCharacteristic,xx (xxx,Celecoxib Dose ;  ; xxx mg twice daily ;  ; NAF(plasma) ; ,Samples,,5,2,3,yes
1273,2359721,Table 1,BaselineCharacteristic,xx,,Total,None,0,1,1,yes
1287,2360042,Table 1,BaselineCharacteristic,xx,No ; ,Total,,1,1,3,yes
1359,2360595,Table 1,BaselineCharacteristic,xx,,Number of patients,None,0,1,1,yes
1376,2360764,Table 1,BaselineCharacteristic,xx,No. of patients ; ,Characteristics,None,1,1,1,yes
1423,2361378,Table 1,BaselineCharacteristic,xx,n (%) ; ,Patients enrolled,,1,1,3,yes
1504,2361889,Table 1,BaselineCharacteristic,Patients (N=xx),,Characteristics,,0,1,3,yes
1985,2395315,Table 1,BaselineCharacteristic,xx,EMP & VBL ; ,n=,None,1,1,1,yes
1985,2395315,Table 1,BaselineCharacteristic,xx,EMP alone ; ,n=,None,1,2,1,yes
2165,2441954,Table 1,BaselineCharacteristic,xx,No. of patients ; ,Total,,1,1,3,yes
2246,2527821,Table 1,BaselineCharacteristic,xx,na (%) ; ,Patients,,1,1,3,yes
2478,2656521,Table 1,BaselineCharacteristic,Steatohepatitis (n xx),,,None,0,1,1,yes
2478,2656521,Table 1,BaselineCharacteristic,Diffuse Steatosis(n xx),,,None,0,2,1,yes
2478,2656521,Table 1,BaselineCharacteristic,Focal Fatty Liver (n x),,,None,0,3,1,yes
2478,2656521,Table 1,BaselineCharacteristic,Controls (n xx),,,None,0,4,1,yes
2737,2734077,Table 1,BaselineCharacteristic,Healthy Participants (n = xx; xx men),,,None,0,1,1,yes
