@relation learnngCellDatasetBalanced-weka.filters.unsupervised.attribute.Remove-R1-3-weka.filters.unsupervised.attribute.Remove-R1

@attribute CellContent String
@attribute Header String
@attribute Stub String
@attribute SuperRow String
@attribute rowN numeric
@attribute columnN numeric
@attribute function numeric
@attribute hasValue {yes,no}

@data
xx,?,Number,?,0,1,3,yes
'Stretching (xx)','Intervention group (number of subjects) ; ','Stretching (xx)',None,1,0,2,yes
'Strength (xx)','Intervention group (number of subjects) ; ','Strength (xx)',None,2,0,2,yes
'Vibration (xx)','Intervention group (number of subjects) ; ','Vibration (xx)',None,3,0,2,yes
xx,'N ; ','Group x',None,1,1,3,yes
xx,'N ; ','Group x',None,2,1,3,yes
x,'N ; ',Controls,None,3,1,3,yes
xx,'N ; ','TOTAL COHORT',None,4,1,3,yes
'xx (xx)','Celecoxib Dose ;  ; xxx mg twice daily ;  ; NAF (plasma) ; ',Samples,?,5,1,3,yes
'xx (xxx','Celecoxib Dose ;  ; xxx mg twice daily ;  ; NAF(plasma) ; ',Samples,?,5,2,3,yes
xx,?,Total,None,0,1,1,yes
xx,'No ; ',Total,?,1,1,3,yes
xx,?,'Number of patients',None,0,1,1,yes
xx,'No. of patients ; ',Characteristics,None,1,1,1,yes
xx,'n (\%) ; ','Patients enrolled',?,1,1,3,yes
'Patients (N=xx)',?,Characteristics,?,0,1,3,yes
xx,'EMP & VBL ; ',n=,None,1,1,1,yes
xx,'EMP alone ; ',n=,None,1,2,1,yes
xx,'No. of patients ; ',Total,?,1,1,3,yes
xx,'na (\%) ; ',Patients,?,1,1,3,yes
'Steatohepatitis (n xx)',?,?,None,0,1,1,yes
'Diffuse Steatosis(n xx)',?,?,None,0,2,1,yes
'Focal Fatty Liver (n x)',?,?,None,0,3,1,yes
'Controls (n xx)',?,?,None,0,4,1,yes
'Healthy Participants (n = xx; xx men)',?,?,None,0,1,1,yes
'Healthy Participants (n = xx; xx men)','Healthy Participants (n = xx; xx men) ; ',?,None,1,1,1,yes
xxx,'Gefitinib ; No ;  ; ',None,None,3,1,?,yes
xx,'Erlotinib ; No ;  ; ',None,None,3,3,?,yes
'(n = xx)','Males ; ',None,None,1,1,?,yes
'(n = xx)','Females ; ',None,None,1,2,?,yes
xx,'Total ; ','Total Participants',None,1,1,3,yes
xx,'Phase x - treatment ; ','Total Participants',None,1,2,3,yes
xx,'Phase x - placebo ; ','Total Participants',None,1,3,3,yes
