@relation 'learnngCellDatasetBalanced-weka.filters.unsupervised.attribute.Remove-R1,3-4'

@attribute PMCid numeric
@attribute CellContent String
@attribute Header String
@attribute Stub String
@attribute SuperRow String
@attribute rowN numeric
@attribute columnN numeric
@attribute function numeric
@attribute hasValue {yes,no}

@data
1131894,xx,?,Number,?,0,1,3,yes
1885552,'Stretching (xx)','Intervention group (number of subjects) ; ','Stretching (xx)',None,1,0,2,yes
1885552,'Strength (xx)','Intervention group (number of subjects) ; ','Strength (xx)',None,2,0,2,yes
1885552,'Vibration (xx)','Intervention group (number of subjects) ; ','Vibration (xx)',None,3,0,2,yes
2204057,xx,'N ; ','Group x',None,1,1,3,yes
2204057,xx,'N ; ','Group x',None,2,1,3,yes
2204057,x,'N ; ',Controls,None,3,1,3,yes
2204057,xx,'N ; ','TOTAL COHORT',None,4,1,3,yes
2259321,'xx (xx)','Celecoxib Dose ;  ; xxx mg twice daily ;  ; NAF (plasma) ; ',Samples,?,5,1,3,yes
2259321,'xx (xxx','Celecoxib Dose ;  ; xxx mg twice daily ;  ; NAF(plasma) ; ',Samples,?,5,2,3,yes
2359721,xx,?,Total,None,0,1,1,yes
2360042,xx,'No ; ',Total,?,1,1,3,yes
2360595,xx,?,'Number of patients',None,0,1,1,yes
2360764,xx,'No. of patients ; ',Characteristics,None,1,1,1,yes
2361378,xx,'n (\%) ; ','Patients enrolled',?,1,1,3,yes
2361889,'Patients (N=xx)',?,Characteristics,?,0,1,3,yes
2395315,xx,'EMP & VBL ; ',n=,None,1,1,1,yes
2395315,xx,'EMP alone ; ',n=,None,1,2,1,yes
2441954,xx,'No. of patients ; ',Total,?,1,1,3,yes
2527821,xx,'na (\%) ; ',Patients,?,1,1,3,yes
2656521,'Steatohepatitis (n xx)',?,?,None,0,1,1,yes
2656521,'Diffuse Steatosis(n xx)',?,?,None,0,2,1,yes
2656521,'Focal Fatty Liver (n x)',?,?,None,0,3,1,yes
2656521,'Controls (n xx)',?,?,None,0,4,1,yes
2734077,'Healthy Participants (n = xx; xx men)',?,?,None,0,1,1,yes
2734077,'Healthy Participants (n = xx; xx men)','Healthy Participants (n = xx; xx men) ; ',?,None,1,1,1,yes
2758901,xxx,'Gefitinib ; No ;  ; ',None,None,3,1,?,yes
2758901,xx,'Erlotinib ; No ;  ; ',None,None,3,3,?,yes
2765955,'(n = xx)','Males ; ',None,None,1,1,?,yes
2765955,'(n = xx)','Females ; ',None,None,1,2,?,yes
2774660,xx,'Total ; ','Total Participants',None,1,1,3,yes
2774660,xx,'Phase x - treatment ; ','Total Participants',None,1,2,3,yes
2774660,xx,'Phase x - placebo ; ','Total Participants',None,1,3,3,yes
2816665,xxx,'All patients ; ','Patient number',None,1,1,3,yes
2816665,xx,'Subgroup A ; ','Patient number',None,1,2,3,yes
