@relation learnngCellDatasetGender

@attribute ArticleId numeric
@attribute PMCid numeric
@attribute TableName String
@attribute SpecPragmatics {BaselineCharacteristic}
@attribute CellContent String
@attribute Header String
@attribute Stub String
@attribute SuperRow String
@attribute rowN numeric
@attribute columnN numeric
@attribute function numeric
@attribute hasGender {no,yes}

@data
19,1090597,'Table 1',BaselineCharacteristic,?,?,None,None,0,0,?,no
19,1090597,'Table 1',BaselineCharacteristic,'n (\%)',?,None,None,0,1,?,no
19,1090597,'Table 1',BaselineCharacteristic,Gender,' ; ',None,None,1,0,?,no
19,1090597,'Table 1',BaselineCharacteristic,?,'n (\%) ; ',None,None,1,1,?,no
19,1090597,'Table 1',BaselineCharacteristic,Male,' ; ',Male,?,2,0,?,no
19,1090597,'Table 1',BaselineCharacteristic,'xx (xx)','n (\%) ; ',Male,?,2,1,?,yes
19,1090597,'Table 1',BaselineCharacteristic,Female,' ; ',Female,?,3,0,?,no
19,1090597,'Table 1',BaselineCharacteristic,'xx (xx)','n (\%) ; ',Female,?,3,1,?,yes
19,1090597,'Table 1',BaselineCharacteristic,?,' ; ',None,None,4,0,?,no
19,1090597,'Table 1',BaselineCharacteristic,?,'n (\%) ; ',None,None,4,1,?,no
19,1090597,'Table 1',BaselineCharacteristic,'Schizophrenia subtype',' ; ',None,None,5,0,?,no
19,1090597,'Table 1',BaselineCharacteristic,?,'n (\%) ; ',None,None,5,1,?,no
19,1090597,'Table 1',BaselineCharacteristic,Paranoid,' ; ',Paranoid,?,6,0,?,no
19,1090597,'Table 1',BaselineCharacteristic,'xx (xx)','n (\%) ; ',Paranoid,?,6,1,?,no
19,1090597,'Table 1',BaselineCharacteristic,Undifferentiated,' ; ',Undifferentiated,?,7,0,?,no
19,1090597,'Table 1',BaselineCharacteristic,'xx (xx.x)','n (\%) ; ',Undifferentiated,?,7,1,?,no
19,1090597,'Table 1',BaselineCharacteristic,Disorganized,' ; ',Disorganized,?,8,0,?,no
19,1090597,'Table 1',BaselineCharacteristic,'x (x.x)','n (\%) ; ',Disorganized,?,8,1,?,no
19,1090597,'Table 1',BaselineCharacteristic,Residual,' ; ',Residual,?,9,0,?,no
19,1090597,'Table 1',BaselineCharacteristic,'x (x.x)','n (\%) ; ',Residual,?,9,1,?,no
19,1090597,'Table 1',BaselineCharacteristic,?,' ; ',None,None,10,0,?,no
19,1090597,'Table 1',BaselineCharacteristic,?,'n (\%) ; ',None,None,10,1,?,no
19,1090597,'Table 1',BaselineCharacteristic,Inpatients,' ; ',Inpatients,?,11,0,?,no
19,1090597,'Table 1',BaselineCharacteristic,'xx (xx)','n (\%) ; ',Inpatients,?,11,1,?,no
19,1090597,'Table 1',BaselineCharacteristic,Outpatients,' ; ',Outpatients,?,12,0,?,no
19,1090597,'Table 1',BaselineCharacteristic,'xx (xx)','n (\%) ; ',Outpatients,?,12,1,?,no
19,1090597,'Table 1',BaselineCharacteristic,?,' ; ',None,None,13,0,?,no
19,1090597,'Table 1',BaselineCharacteristic,?,'n (\%) ; ',None,None,13,1,?,no
19,1090597,'Table 1',BaselineCharacteristic,'Switched from previous antipsychotic',' ; ','Switched from previous antipsychotic',?,14,0,?,no
19,1090597,'Table 1',BaselineCharacteristic,'xx (xx)','n (\%) ; ','Switched from previous antipsychotic',?,14,1,?,no
19,1090597,'Table 1',BaselineCharacteristic,Noncompliance,' ; ',Noncompliance,?,15,0,?,no
19,1090597,'Table 1',BaselineCharacteristic,'xx (xx)','n (\%) ; ',Noncompliance,?,15,1,?,no
19,1090597,'Table 1',BaselineCharacteristic,'First Episode',' ; ','First Episode',?,16,0,?,no
19,1090597,'Table 1',BaselineCharacteristic,'xx (xx)','n (\%) ; ','First Episode',?,16,1,?,no
19,1090597,'Table 1',BaselineCharacteristic,?,' ; ',None,None,17,0,?,no
19,1090597,'Table 1',BaselineCharacteristic,?,'n (\%) ; ',None,None,17,1,?,no
19,1090597,'Table 1',BaselineCharacteristic,?,' ; ',?,?,18,0,?,no
19,1090597,'Table 1',BaselineCharacteristic,'Mean (S.D.)','n (\%) ; ',?,?,18,1,?,no
19,1090597,'Table 1',BaselineCharacteristic,?,' ; ',None,None,19,0,?,no
19,1090597,'Table 1',BaselineCharacteristic,?,'n (\%) ; ',None,None,19,1,?,no
19,1090597,'Table 1',BaselineCharacteristic,Age,' ; ',None,None,20,0,?,no
19,1090597,'Table 1',BaselineCharacteristic,'xx.x (xx.x)','n (\%) ; ',None,None,20,1,?,no
19,1090597,'Table 1',BaselineCharacteristic,?,' ; ',None,None,21,0,?,no
19,1090597,'Table 1',BaselineCharacteristic,?,'n (\%) ; ',None,None,21,1,?,no
19,1090597,'Table 1',BaselineCharacteristic,'Age at onset',' ; ','Age at onset',?,22,0,?,no
19,1090597,'Table 1',BaselineCharacteristic,'xx.x (x.x)','n (\%) ; ','Age at onset',?,22,1,?,no
19,1090597,'Table 1',BaselineCharacteristic,?,' ; ',None,None,23,0,?,no
19,1090597,'Table 1',BaselineCharacteristic,?,'n (\%) ; ',None,None,23,1,?,no
19,1090597,'Table 1',BaselineCharacteristic,'Length of illness (yr.)',' ; ','Length of illness (yr.)',?,24,0,?,no
19,1090597,'Table 1',BaselineCharacteristic,'xx.x (x.x)','n (\%) ; ','Length of illness (yr.)',?,24,1,?,no
19,1090597,'Table 1',BaselineCharacteristic,?,' ; ',None,None,25,0,?,no
19,1090597,'Table 1',BaselineCharacteristic,?,'n (\%) ; ',None,None,25,1,?,no
19,1090597,'Table 1',BaselineCharacteristic,'PANSS total score',' ; ','PANSS total score',?,26,0,?,no
19,1090597,'Table 1',BaselineCharacteristic,'xx.x (xx.x)','n (\%) ; ','PANSS total score',?,26,1,?,no
25,1131894,'Table 3',BaselineCharacteristic,Number,?,Number,?,0,0,2,no
25,1131894,'Table 3',BaselineCharacteristic,xx,?,Number,?,0,1,3,no
25,1131894,'Table 3',BaselineCharacteristic,'Mean Age',?,'Mean Age',?,1,0,2,no
25,1131894,'Table 3',BaselineCharacteristic,'xx.x (xx–xx years)',?,'Mean Age',?,1,1,3,no
25,1131894,'Table 3',BaselineCharacteristic,Histology,?,None,None,2,0,24,no
25,1131894,'Table 3',BaselineCharacteristic,?,?,Histology,None,2,1,43,no
