@relation learnngCellDatasetGender-weka.filters.unsupervised.attribute.Remove-R1-4-weka.filters.supervised.instance.Resample-B1.0-S1-Z3.0

@attribute CellContent string
@attribute Header string
@attribute Stub string
@attribute SuperRow string
@attribute rowN numeric
@attribute columnN numeric
@attribute function numeric
@attribute hasGender {no,yes}

@data
x,?,?,?,28,2,3,no
'Insulin requirement after the last transplantation (IU/day) ',?,Subject,None,0,4,1,no
'Ipsilateral breast','Characteristic ;  ; ',None,None,6,0,24,no
Age,?,PatientID,None,0,1,1,no
x,'xx ; ',?Liposarcoma,' Sarcoma type',15,1,3,no
R,'Response ; NR ;  ; NR ;  ; NR ;  ; NR ;  ; NR ;  ; NR ;  ; NR ;  ; R ;  ; R ;  ; R ;  ; R ;  ; R ;  ; ',None,None,25,4,?,no
xxx.x,'median dose/GyE or Gy ; ',CTVx,?,6,1,3,no
?x,' ; ',?x,' No. of metastatic sites',20,0,2,no
xx,'Age (years) ; ',????x,' Patient x   ',7,1,3,no
Range,'Variable ; ',Range,?,36,0,2,no
'xx.x ± x.x','Overall Survival ± SE (\%) ;  ; xx-yr OS ; ',?,' Immunophenotype',6,6,3,no
'xx (xx–xx)','Efavirenz arm (n?=?xx) ; ','Weight (kg), median (IQR)',None,3,1,3,no
?,'Risks factors for dialysis hypotension ; Long duration of dialysis (x years), SLE still active treated by steroïds and ciclosporin - Diastolic dysfunction ;  ; Very old age, severe ischemic cardiopathy - Diastolic dysfunction ; ',None,None,4,7,?,no
'LMWH x,xxx','Heparin, IU/xx hours ; ',xx,None,10,5,3,no
xx+,'Number of vaccinations (ELISPOT)a ; ',m,None,1,9,3,no
'x (xx.x\%)',' ; ',?Penicillamine,' Previous treatment, n (\%)',32,1,3,no
?,'Event-free Survival ± SE (\%) ;  ; x-yr EFS ; ',T-lineage†,None,10,2,43,no
xxx,' ;  ; N ; ',?,' Down Syndrome',34,1,3,no
xx,'Recipient  ; x ; ','Body weight (kg)',None,4,5,3,no
?,?,None,None,1,16,3,no
R,'Response ; NR ;  ; NR ;  ; NR ;  ; NR ;  ; NR ;  ; NR ;  ; NR ;  ; R ;  ; R ;  ; R ;  ; R ;  ; R ;  ; R ;  ; R ;  ; ',None,None,29,4,?,no
'Metastasis sites','No. of patients ; ','Metastasis sites',None,13,1,43,no
'Controls (n xx)',?,?,None,0,4,1,no
Histology,?,None,None,2,0,24,no
'xx (xx)','Docetaxel xx mg/mxn?=?xx ; ','Prior radiation, n (\%)',' Prior chemotherapy, n (\%)',19,4,3,no
IV,'WHO ; ',xx,' Serial FET PET monitoring during and after RIT',8,2,3,no
Asparaginase,' ;  ; Protocol ; ',None,None,40,0,24,no
reirradiation,?,?,?,23,1,3,no
x.x,'Mean ; ','xe. Remembering the dose that was prescribed by the doctor',None,6,2,3,no
