	Misc
Ã‚â€ â€œ = DECREASED (INDUCES LAMOTRIGINE GLURONIDATION). Ã‚â€ â€˜ = INCREASED (INHIBITS LAMOTRIGINE GLUCURONIDATION). ? = CONFLICTING DATA.	Misc.
TOPAMAX CONCENTRATION	Interacting Substance Properties
INTERACTIONINTERACTION	Interaction Properties
RECOMMENDATIONS FOR DRUG DOSAGE ADJUSTMENT/COMMENTS	Recommendation or Comment
BLOODÃ‚Â DYSCRASIASÃ‚Â Ã‚â‚¬â€�	Misc.
C MAX OF STAVUDINE (95% CI)	Interaction Properties
EFFECT ON CONCENTRATION OF AMPRENAVIR OR CONCOMITANT DRUG	Effect on Drug
DRUG CLASS	Drug Name or Drug Class
CLARITHROMYCIN	Drug Name or Drug Class
AUC SS(0-12H) (EXTENT OF SYSTEMIC EXPOSURE)	Interaction Properties
*Ã‚Â  REFER TO PRECAUTIONS, DRUG INTERACTIONS FOR INFORMATION REGARDING TABLE.	Recommendation or Comment
EFFECTÃ‚Â ONÃ‚Â CONCENTRATIONÃ‚Â OFÃ‚Â LAMOTRIGINEÃ‚Â ORÃ‚Â CONCOMITANTÃ‚Â DRUG	Effect on Drug
EFFECT ON ACTIVE MOIETY (RISPERIDONE + 9-HYDROXY-RISPERIDONE (RATIO*)	Interaction Properties
PLACEBO-SUBTRACTED MEAN MAXIMUM DECREASE IN SYSTOLIC BLOOD PRESSURE (MM HG)	Interaction Properties
ALBUTEROL,	Drug Name or Drug Class
STAVUDINEDOSAGE	Drug Name or Drug Class
EFFECT ON CONCENTRATION OF LOPINAVIR OR CONCOMITANT DRUG	Effect on Drug
PIMOZIDE	Drug Name or Drug Class
*RANGE	Misc.
NAME OF THE CONCOMITANT DRUG	Drug Name or Drug Class
DOSE OF AED (MG/DAY)	Drug Name or Drug Class
EFFECT ON ACTIVE MOIETY ( RISPERIDONE + 9-HYDROXY-RISPERIDONE (RATIO CHANGE RELATIVE TO REFERENCE )	Effect on Drug
TABLE IV. DRUGS THAT HAVE BEEN DOCUMENTED NOT TO INTERACT WITH THEOPHYLLINE OR DRUGS THAT PRODUCE NO CLINICALLY SIGNIFICANT INTERACTION WITH THEOPHYLLINE. REFER TO PRECAUTIONS, DRUG INTERACTIONS FOR INFORMATION REGARDING TABLE.	Recommendation or Comment
Ã‚â€ â€˜ INDICATES INCREASE. Ã‚â€ â€œ INDICATES DECREASE.	Recommendation or Comment
HYPOTHYROIDISM	Misc.
DOSINGÃ‚Â SCHEDULE	Misc.
PRESCRIBING RECOMMENDATIONS	Recommendation or Comment
AUC 0-Ã‚Ë†Å½	Interaction Properties
EFFECTÃ‚â‚¬	Effect on Drug
SPECIFIC DRUGS	Drug Name or Drug Class
DIARRHEA	Misc.
DISCRIPTION OF INTERACTION	Interaction Properties
DILTIAZEM	Drug Name or Drug Class
EFFECT ON ACTIVE MOIETY (RISPERIDONE + 9- HYDROXY-RISPERIDONE (RATIO CHANGE RELATIVE TO REFERENCE )	Effect on Drug
AUC SS (0Ã‚â‚¬â€œ12H) (EXTENT OF SYSTEMIC EXPOSURE)	Interaction Properties
TISSUE	Misc.
CLASSESÃ‚Â OFÃ‚Â DRUGS	Drug Name or Drug Class
RECOMMENDATION	Recommendation or Comment
ANTIBIOTICS NAFCILLIN RIFAMPIN	Drug Name or Drug Class
CO-ADMINISTERED DRUG	Drug Name or Drug Class
DIARRHEA ELEVATED TEMPERATURE HEPATIC DISORDERS INFECTIOUS HEPATITIS JAUNDICE	Misc.
DRUGS	Drug Name or Drug Class
HIV ANTIVIRAL AGENTS: REVERSE TRANSCRIPTASE INHIBITORS	Drug Name or Drug Class
A = PLASMA CONCENTRATION INCREASED 25% IN SOME PATIENTS, GENERALLY THOSE ON A TWICE A DAY DOSING REGIMEN OF PHENYTOIN.	Recommendation or Comment
ASTEMIZOLE RIFABUTIN TACROLIMUS SHORT-ACTING BENZODIAZEPINES	Drug Name or Drug Class
AUC	Interaction Properties
ANTICONVULSANTS CARBAMAZEPINE OXCARBAZEPINE PHENOBARBITAL PHENYTOIN	Drug Name or Drug Class
EFFECT ON CONCENTRATION OF RITONAVIR OR CONCOMITANT DRUG	Effect on Drug
STRONG CYP3A4 (EG, KETOCONAZOLE) OR CYP2D6 (EG, FLUOXETINE) INHIBITORS WILL INCREASE ABILIFY DRUG CONCENTRATIONS; REDUCE ABILIFY DOSE BY ONE-HALF WHEN USED CONCOMITANTLY (2.6 , 7.1) , EXCEPT WHEN USED AS ADJUNCTIVE TREATMENT WITH ANTIDEPRESSANTS (2.6) CYP3A4 INDUCERS (EG, CARBAMAZEPINE) WILL DECREASE ABILIFY DRUG CONCENTRATIONS; DOUBLE ABILIFY DOSE WHEN USED CONCOMITANTLY (2.6 , 7.1)	Recommendation or Comment
INTERACTINGÃ‚Â DRUG	Interacting Substance
DIGOXIN CONCENTRATIONS INCREASED > 50%	Interacting Substance Properties
ALBUTEROL, SYSTEMIC AND	Drug Name or Drug Class
EFFECT ON CONCENTRATION OF ATAZANAVIR OR CONCOMITANT DRUG	Effect on Drug
NA Ã‚â‚¬â€œ NOT AVAILABLE/REPORTED	Recommendation or Comment
AVERAGE DURATION OF EFFECT	Recommendation or Comment
GASTROINTESTINAL AGENTS	Drug Name or Drug Class
1A2	Drug Name or Drug Class
2C19	Drug Name or Drug Class
AUC OF DIDANOSINE (90% CI)	Interacting Substance Properties
EFFECT ON LATUDA PHARMACOKINETICS	Effect on Drug
ANTIARRHYTHMICS	Drug Name or Drug Class
INFLUENCE OF AED ON MHD CONCENTRATION (MEAN CHANGE, 90% CONFIDENCE INTERVAL)	Effect on Drug
EFFECT ON ACTIVE MOIETY(RISPERIDONE + 9- HYDROXY- RISPERIDONE (RATIO*)	Effect on Drug
VARDENAFIL 10 MG PLACEBO-SUBTRACTED	Drug Name or Drug Class
INTERACTION	Interaction Properties
ANTIPSYCHOTICS	Drug Name or Drug Class
EFFECT ON CONCENTRATION INCREASE = Ã‚â€ â€˜; DECREASE = Ã‚â€ â€œ; NO EFFECT = Ã‚â€ â€�	Effect on Drug
ORAL HYPOGLYCEMICS COUMARIN-TYPE ANTICOAGULANTS PHENYTOIN CYCLOSPORINE	Drug Name or Drug Class
C MAXSS (PEAK PLASMA CONCENTRATION)	Interaction Properties
