SpecId,TableName,TableCaption,Drug1,Drug2
22167b92-da4a-4b6d-aceb-04dacd0afcd3,Table 12,Table 13. Established and Other Potentially Significant Drug Interactions , LAMOTRIGINE,estrogen
22167b92-da4a-4b6d-aceb-04dacd0afcd3,Table 12,Table 13. Established and Other Potentially Significant Drug Interactions , LAMOTRIGINE,ethinyl estradiol
22167b92-da4a-4b6d-aceb-04dacd0afcd3,Table 12,Table 13. Established and Other Potentially Significant Drug Interactions , LAMOTRIGINE,levonorgestrel
22167b92-da4a-4b6d-aceb-04dacd0afcd3,Table 12,Table 13. Established and Other Potentially Significant Drug Interactions , LAMOTRIGINE,oral contraceptive preparations
22167b92-da4a-4b6d-aceb-04dacd0afcd3,Table 12,Table 13. Established and Other Potentially Significant Drug Interactions , LAMOTRIGINE,carbamazepine
22167b92-da4a-4b6d-aceb-04dacd0afcd3,Table 12,Table 13. Established and Other Potentially Significant Drug Interactions , LAMOTRIGINE,carbamazepin
22167b92-da4a-4b6d-aceb-04dacd0afcd3,Table 12,Table 13. Established and Other Potentially Significant Drug Interactions , LAMOTRIGINE,carbamazepine epoxide
22167b92-da4a-4b6d-aceb-04dacd0afcd3,Table 12,Table 13. Established and Other Potentially Significant Drug Interactions , LAMOTRIGINE,phenobarbital
22167b92-da4a-4b6d-aceb-04dacd0afcd3,Table 12,Table 13. Established and Other Potentially Significant Drug Interactions , LAMOTRIGINE,primidone
22167b92-da4a-4b6d-aceb-04dacd0afcd3,Table 12,Table 13. Established and Other Potentially Significant Drug Interactions , LAMOTRIGINE,phenytoin
0dc12b44-73f8-416c-88bb-0b11b3e35458,Table 18,Table 18  Summary of Effect of Coadministered Drugs on Exposure to Active Moiety (Risperidone + 9-Hydroxy-Risperidone) in Healthy Subjects or Patients with Schizophrenia,Risperidone,fluoxetine
0dc12b44-73f8-416c-88bb-0b11b3e35458,Table 18,Table 18  Summary of Effect of Coadministered Drugs on Exposure to Active Moiety (Risperidone + 9-Hydroxy-Risperidone) in Healthy Subjects or Patients with Schizophrenia,Risperidone,paroxetine
0dc12b44-73f8-416c-88bb-0b11b3e35458,Table 18,Table 18  Summary of Effect of Coadministered Drugs on Exposure to Active Moiety (Risperidone + 9-Hydroxy-Risperidone) in Healthy Subjects or Patients with Schizophrenia,Risperidone,carbamazepine
0dc12b44-73f8-416c-88bb-0b11b3e35458,Table 18,Table 18  Summary of Effect of Coadministered Drugs on Exposure to Active Moiety (Risperidone + 9-Hydroxy-Risperidone) in Healthy Subjects or Patients with Schizophrenia,Risperidone,carbamazepin
0dc12b44-73f8-416c-88bb-0b11b3e35458,Table 18,Table 18  Summary of Effect of Coadministered Drugs on Exposure to Active Moiety (Risperidone + 9-Hydroxy-Risperidone) in Healthy Subjects or Patients with Schizophrenia,Risperidone,ranitidine
0dc12b44-73f8-416c-88bb-0b11b3e35458,Table 18,Table 18  Summary of Effect of Coadministered Drugs on Exposure to Active Moiety (Risperidone + 9-Hydroxy-Risperidone) in Healthy Subjects or Patients with Schizophrenia,Risperidone,cimetidine
0dc12b44-73f8-416c-88bb-0b11b3e35458,Table 18,Table 18  Summary of Effect of Coadministered Drugs on Exposure to Active Moiety (Risperidone + 9-Hydroxy-Risperidone) in Healthy Subjects or Patients with Schizophrenia,Risperidone,amitriptyline
10553514-8001-4281-85b6-96d99ef6822a,Table 0,Table without label,Cesamet,cocaine
10553514-8001-4281-85b6-96d99ef6822a,Table 0,Table without label,Cesamet,sympathomimetic agents
10553514-8001-4281-85b6-96d99ef6822a,Table 0,Table without label,Cesamet,atropine
10553514-8001-4281-85b6-96d99ef6822a,Table 0,Table without label,Cesamet,scopolamine
10553514-8001-4281-85b6-96d99ef6822a,Table 0,Table without label,Cesamet,antihistamines
10553514-8001-4281-85b6-96d99ef6822a,Table 0,Table without label,Cesamet,anticholinergic agents
10553514-8001-4281-85b6-96d99ef6822a,Table 0,Table without label,Cesamet,amitriptyline
10553514-8001-4281-85b6-96d99ef6822a,Table 0,Table without label,Cesamet,amoxapine
10553514-8001-4281-85b6-96d99ef6822a,Table 0,Table without label,Cesamet,desipramine
10553514-8001-4281-85b6-96d99ef6822a,Table 0,Table without label,Cesamet,tricyclic antidepressants
10553514-8001-4281-85b6-96d99ef6822a,Table 0,Table without label,Cesamet,barbiturates
10553514-8001-4281-85b6-96d99ef6822a,Table 0,Table without label,Cesamet,benzodiazepines
10553514-8001-4281-85b6-96d99ef6822a,Table 0,Table without label,Cesamet,ethanol
10553514-8001-4281-85b6-96d99ef6822a,Table 0,Table without label,Cesamet,lithium
10553514-8001-4281-85b6-96d99ef6822a,Table 0,Table without label,Cesamet,opioids
10553514-8001-4281-85b6-96d99ef6822a,Table 0,Table without label,Cesamet,buspirone
10553514-8001-4281-85b6-96d99ef6822a,Table 0,Table without label,Cesamet,muscle relaxants
10553514-8001-4281-85b6-96d99ef6822a,Table 0,Table without label,Cesamet,cns depressants
