idCell,specId,TableOrder,Content,concepts,semanticTypes
1813,b71ea970-4d53-44c2-aaed-19f2b5d22ce3,"Table 12",Concomitant Drug,"C0521115, C0013227, C1254351","Temporal Concept (tmco), Pharmacologic Substance (phsu), Pharmacologic Substance (phsu)"
1814,b71ea970-4d53-44c2-aaed-19f2b5d22ce3,"Table 12","Effect on Concentration of Lamotrigine or  Concomitant Drug","C1280500, C2348382, C0004268, C0086045, C1446561, C0064636, C0524166, C0521115, C0013227, C1254351","Qualitative Concept (qlco), Qualitative Concept (qlco), Mental Process (menp), Mental Process (menp), Quantitative Concept (qnco), Organic Chemical (orch), Laboratory Procedure (lbpr), Temporal Concept (tmco), Pharmacologic Substance (phsu), Pharmacologic Substance (phsu)"
1815,b71ea970-4d53-44c2-aaed-19f2b5d22ce3,"Table 12",Clinical Comment ,"C0205210, C0237412, C0497591, C1553058, C0282411, C0947611","Qualitative Concept (qlco), Professional or Occupational Group (prog), Professional or Occupational Group (prog), Professional or Occupational Group (prog), Intellectual Product (inpr), Intellectual Product (inpr)"
3258,b2bfedb4-85a5-4a31-aedd-dcaa3bc08d3b,"Table 2","
                                    Drug Interactions Associated with Increased Risk of Myopathy/Rhabdomyolysis (
             
     
        2.6, 
             
     
        5.1, 
             
     
        7, 
             
     
        12.3)
            
    
       
                                 ","C0332281, C0205217, C0442805, C0035647, C0026848, C0035410, C0687133, C0450371","Qualitative Concept (qlco), Quantitative Concept (qnco), Functional Concept (ftcn), Idea or Concept (idcn), Disease or Syndrome (dsyn), Pathologic Function (patf), Molecular Function (moft), Organism Attribute (orga)"
3259,b2bfedb4-85a5-4a31-aedd-dcaa3bc08d3b,"Table 2","
                                    Drug Interactions Associated with Increased Risk of Myopathy/Rhabdomyolysis (
             
     
        2.6, 
             
     
        5.1, 
             
     
        7, 
             
     
        12.3)
            
    
       
                                 ","C0332281, C0205217, C0442805, C0035647, C0026848, C0035410, C0687133, C0450371","Qualitative Concept (qlco), Quantitative Concept (qnco), Functional Concept (ftcn), Idea or Concept (idcn), Disease or Syndrome (dsyn), Pathologic Function (patf), Molecular Function (moft), Organism Attribute (orga)"
3260,b2bfedb4-85a5-4a31-aedd-dcaa3bc08d3b,"Table 2","
                                    Interacting Agents
                                 ","C0450442, C1254351, C1521826","Chemical Viewed Functionally (chvf), Pharmacologic Substance (phsu), Intellectual Product (inpr)"
3261,b2bfedb4-85a5-4a31-aedd-dcaa3bc08d3b,"Table 2","
                                    Prescribing Recommendations
                                 ","C0278329, C0034866","Health Care Activity (hlca), Idea or Concept (idcn)"
4370,b829f9b2-f0ac-408a-a6f4-18b72150227d,"Table 13","Concomitant Drug","C0521115, C0013227, C1254351","Temporal Concept (tmco), Pharmacologic Substance (phsu), Pharmacologic Substance (phsu)"
4371,b829f9b2-f0ac-408a-a6f4-18b72150227d,"Table 13","Effect on Concentration of Lamotrigine or Concomitant Drug","C1280500, C2348382, C0004268, C0086045, C1446561, C0064636, C0524166, C0521115, C0013227, C1254351","Qualitative Concept (qlco), Qualitative Concept (qlco), Mental Process (menp), Mental Process (menp), Quantitative Concept (qnco), Organic Chemical (orch), Laboratory Procedure (lbpr), Temporal Concept (tmco), Pharmacologic Substance (phsu), Pharmacologic Substance (phsu)"
4372,b829f9b2-f0ac-408a-a6f4-18b72150227d,"Table 13","Clinical Comment","C0205210, C0237412, C0497591, C1553058, C0282411, C0947611","Qualitative Concept (qlco), Professional or Occupational Group (prog), Professional or Occupational Group (prog), Professional or Occupational Group (prog), Intellectual Product (inpr), Intellectual Product (inpr)"
