ArticleId,PMCid,TableName,SpecPragmatics,CellContent,Header,Stub,SuperRow,rowN,columnN,function,hasGender,actual,predicted,error,prediction
352,1764757,Table 1,BaselineCharacteristic,,,None,None,0,0,12,no,1:no,1:no,,0.793
352,1764757,Table 1,BaselineCharacteristic,,,,None,0,1,1,no,1:no,1:no,,0.735
352,1764757,Table 1,BaselineCharacteristic,Cilengitide + Gemcitabine n = xx,,,None,0,2,1,no,1:no,1:no,,0.605
352,1764757,Table 1,BaselineCharacteristic,Gemcitabine n = xx,,,None,0,3,1,no,1:no,1:no,,0.616
352,1764757,Table 1,BaselineCharacteristic,Total n = xx,,,None,0,4,1,no,1:no,1:no,,0.573
352,1764757,Table 1,BaselineCharacteristic,"Age, years", ; ,"Age, years",,1,0,24,no,1:no,1:no,,0.772
352,1764757,Table 1,BaselineCharacteristic,Median, ; ,"Age, years",,1,1,43,no,1:no,1:no,,0.769
352,1764757,Table 1,BaselineCharacteristic,xx,Cilengitide + Gemcitabine n = xx ; ,"Age, years",,1,2,43,no,1:no,1:no,,0.573
352,1764757,Table 1,BaselineCharacteristic,xx,Gemcitabine n = xx ; ,"Age, years",,1,3,43,no,1:no,1:no,,0.587
352,1764757,Table 1,BaselineCharacteristic,xx,Total n = xx ; ,"Age, years",,1,4,43,no,1:no,1:no,,0.544
352,1764757,Table 1,BaselineCharacteristic,, ; ,,,2,0,2,no,1:no,1:no,,0.831
352,1764757,Table 1,BaselineCharacteristic,Range, ; ,,,2,1,3,no,1:no,1:no,,0.644
352,1764757,Table 1,BaselineCharacteristic,"Gender (n, %)", ; ,"Gender (n, %)",,3,0,24,no,1:no,1:no,,0.589
352,1764757,Table 1,BaselineCharacteristic,Male, ; ,"Gender (n, %)",,3,1,43,no,1:no,2:yes,+,0.637
352,1764757,Table 1,BaselineCharacteristic,xx (xx%),Cilengitide + Gemcitabine n = xx ; ,"Gender (n, %)",,3,2,43,yes,2:yes,2:yes,,0.683
352,1764757,Table 1,BaselineCharacteristic,xx (xx%),Gemcitabine n = xx ; ,"Gender (n, %)",,3,3,43,yes,2:yes,2:yes,,0.664
352,1764757,Table 1,BaselineCharacteristic,xx (xx%),Total n = xx ; ,"Gender (n, %)",,3,4,43,yes,2:yes,2:yes,,0.67
352,1764757,Table 1,BaselineCharacteristic,, ; ,,,4,0,2,no,1:no,1:no,,0.826
352,1764757,Table 1,BaselineCharacteristic,Female, ; ,,,4,1,3,no,1:no,1:no,,0.532
352,1764757,Table 1,BaselineCharacteristic,xx (xx%),Cilengitide + Gemcitabine n = xx ; ,,,4,2,3,no,1:no,2:yes,+,0.53
352,1764757,Table 1,BaselineCharacteristic,xx (xx%),Gemcitabine n = xx ; ,,,4,3,3,no,1:no,2:yes,+,0.511
352,1764757,Table 1,BaselineCharacteristic,xx (xx%),Total n = xx ; ,,,4,4,3,no,1:no,2:yes,+,0.561
352,1764757,Table 1,BaselineCharacteristic,Stage, ; ,Stage,,5,0,24,no,1:no,1:no,,0.813
352,1764757,Table 1,BaselineCharacteristic,III, ; ,Stage,,5,1,43,no,1:no,1:no,,0.768
352,1764757,Table 1,BaselineCharacteristic,x (x%),Cilengitide + Gemcitabine n = xx ; ,Stage,,5,2,43,no,1:no,1:no,,0.579
352,1764757,Table 1,BaselineCharacteristic,x (x%),Gemcitabine n = xx ; ,Stage,,5,3,43,no,1:no,1:no,,0.577
352,1764757,Table 1,BaselineCharacteristic,x (x%),Total n = xx ; ,Stage,,5,4,43,no,1:no,1:no,,0.522
