@relation learnngCellDatasetAgeBalanced

@attribute ArticleId numeric
@attribute PMCid numeric
@attribute TableName String
@attribute SpecPragmatics {BaselineCharacteristic}
@attribute CellContent String
@attribute Header String
@attribute Stub String
@attribute SuperRow String
@attribute rowN numeric
@attribute columnN numeric
@attribute function numeric
@attribute hasValue {yes,No}

@data
19,1090597,'Table 1',BaselineCharacteristic,'xx.x (xx.x)','n (\%) ; ',None,None,20,1,?,yes
25,1131894,'Table 3',BaselineCharacteristic,'xx.x (xx–xx years)',?,'Mean Age',?,1,1,3,yes
215,1488867,'Table 1',BaselineCharacteristic,xx,'n(\%) ; ',?Median,' Age (years)',2,1,3,yes
215,1488867,'Table 1',BaselineCharacteristic,xx–xx,'n(\%) ; ',?Range,' Age (years)',3,1,3,yes
309,1586008,'Table 1',BaselineCharacteristic,'xx.x ± x.x','N° (\%) ; ','Mean age (years)',None,2,1,3,yes
1118,2204057,'Table 1',BaselineCharacteristic,'xx.x (x.x)','Mean AGE (SD) ; ','Group x',None,1,2,3,yes
1118,2204057,'Table 1',BaselineCharacteristic,'xx.x (x.x)','Mean AGE (SD) ; ','Group x',None,2,2,3,yes
1118,2204057,'Table 1',BaselineCharacteristic,'xx (x.x)','Mean AGE (SD) ; ',Controls,None,3,2,3,yes
1233,2259321,'Table 1',BaselineCharacteristic,'xx (xx)','Celecoxib Dose ;  ; xxx mg twice daily ;  ; NAF (plasma) ; ',?Median,' Age (years)',7,1,3,yes
1233,2259321,'Table 1',BaselineCharacteristic,'xx.x (xx.x)','Celecoxib Dose ;  ; xxx mg twice daily ;  ; NAF(plasma) ; ',?Median,' Age (years)',7,2,3,yes
1233,2259321,'Table 1',BaselineCharacteristic,'xx–xx (xx–xx)','Celecoxib Dose ;  ; xxx mg twice daily ;  ; NAF (plasma) ; ',?Range,' Age (years)',8,1,3,yes
1233,2259321,'Table 1',BaselineCharacteristic,'xx–xx (xx–xx)','Celecoxib Dose ;  ; xxx mg twice daily ;  ; NAF(plasma) ; ',?Range,' Age (years)',8,2,3,yes
1283,2359964,'Table 1',BaselineCharacteristic,'xx (xx–xx)',?,'Median age (range)',None,0,1,1,yes
1410,2361304,'Table 1',BaselineCharacteristic,'xx years (xx–xx)','Number ; ','Median age (range)',?,1,1,3,yes
1423,2361378,'Table 1',BaselineCharacteristic,xx,'n (\%) ; ',?Median,' Age (years)',3,1,3,yes
1423,2361378,'Table 1',BaselineCharacteristic,xx–xx,'n (\%) ; ',?Range,' Age (years)',4,1,3,yes
1446,2361514,'Table 2',BaselineCharacteristic,xx,'n ; ','?Median (years)',' Age',6,1,3,yes
1446,2361514,'Table 2',BaselineCharacteristic,xx–xx,'n ; ','?Range (years)',' Age',7,1,3,yes
1504,2361889,'Table 1',BaselineCharacteristic,'xx.x (xx.x–xx.x)',?,'Median (range)',' Age (years)',2,1,3,yes
2165,2441954,'Table 1',BaselineCharacteristic,xx,'No. of patients ; ',?Median,' Age (years)',7,1,3,yes
2165,2441954,'Table 1',BaselineCharacteristic,xx–xx,'No. of patients ; ',?Range,' Age (years)',8,1,3,yes
2478,2656521,'Table 1',BaselineCharacteristic,'xx.x ± xx.x','Steatohepatitis (n xx) ; ',Age(years),None,1,1,3,yes
2478,2656521,'Table 1',BaselineCharacteristic,'xx.x ± x.x','Diffuse Steatosis(n xx) ; ',Age(years),None,1,2,3,yes
2478,2656521,'Table 1',BaselineCharacteristic,'xx.x ± x.x','Focal Fatty Liver (n x) ; ',Age(years),None,1,3,3,yes
2478,2656521,'Table 1',BaselineCharacteristic,'xx.x ± xx.x','Controls (n xx) ; ',Age(years),None,1,4,3,yes
2656,270679,'Table 1',BaselineCharacteristic,'xx (xx–xx)',?,'Age (years)',?,0,1,3,yes
2737,2734077,'Table 1',BaselineCharacteristic,xx.xx (xx.xx),'Healthy Participants (n = xx; xx men) ; Healthy Participants (n = xx; xx men) ; ','Age (Years)',?,3,1,3,yes
2811,2758901,'Table 1',BaselineCharacteristic,xx.xx,'Gefitinib ; No ;  ; xxx ;  ; ','?Avg. age',?,13,1,?,yes
2811,2758901,'Table 1',BaselineCharacteristic,xx.xx,'Erlotinib ; No ;  ; xx ;  ; ','?Avg. age',?,13,3,?,yes
2811,2758901,'Table 1',BaselineCharacteristic,xx-xx,'Gefitinib ; No ;  ; xxx ;  ; ',?Range,?,15,1,?,yes
2811,2758901,'Table 1',BaselineCharacteristic,xx-xx,'Erlotinib ; No ;  ; xx ;  ; ',?Range,?,15,3,?,yes
2834,2765955,'Table 1',BaselineCharacteristic,'xx.x (xx.x)','Males ; (n = xx) ; ',None,None,2,1,?,yes
2834,2765955,'Table 1',BaselineCharacteristic,'xx.x (x.x)','Females ; (n = xx) ; ',None,None,2,2,?,yes
2864,2774660,'Table 1',BaselineCharacteristic,x.x,'Total ; ','Age (years)',None,4,1,3,yes
2864,2774660,'Table 1',BaselineCharacteristic,x.x,'Phase x - treatment ; ','Age (years)',None,4,2,3,yes
2864,2774660,'Table 1',BaselineCharacteristic,x.x,'Phase x - placebo ; ','Age (years)',None,4,3,3,yes
3023,2816665,'Table 1',BaselineCharacteristic,'xx (xx–xx)','All patients ; ','Median age (range)',None,2,1,3,yes
3023,2816665,'Table 1',BaselineCharacteristic,'xx (xx–xx)','Subgroup A ; ','Median age (range)',None,2,2,3,yes
3023,2816665,'Table 1',BaselineCharacteristic,'xx (xx–xx)','Subgroup B ; ','Median age (range)',None,2,3,3,yes
3023,2816665,'Table 1',BaselineCharacteristic,'xx (xx–xx)','Subgroup C ; ','Median age (range)',None,2,4,3,yes
3105,2837631,'Table 1',BaselineCharacteristic,'median (range) xx (xx-xx)',?,'Age (years)',?,0,1,3,yes
3276,2894820,'Table 4',BaselineCharacteristic,x.xx,'Control(mean) ; ',Child,?,1,2,43,yes
3276,2894820,'Table 4',BaselineCharacteristic,x.xx,'Intervention(mean) ; ',Child,?,1,3,43,yes
3291,2902493,'Table 1',BaselineCharacteristic,'xx [xx-xx]','xx ; ',None,None,1,2,?,yes
3308,2905428,'Table 1',BaselineCharacteristic,xx-xx,'No (\%) ; ',?,' Age',2,2,3,yes
3308,2905428,'Table 1',BaselineCharacteristic,xx,'No (\%) ; ',?,' Age',3,2,3,yes
3324,2910694,'Table 1',BaselineCharacteristic,'xx (range xx-xx)','Number ; ',None,None,1,1,?,yes
3652,3015370,'Table 1.',BaselineCharacteristic,'xx.x (+/? x.x)','Estrogen ; ','Age (years)',None,1,1,3,yes
3652,3015370,'Table 1.',BaselineCharacteristic,'xx.x (+/? x.x)','Placebo ; ','Age (years)',None,1,2,3,yes
4024,3102212,Table 2,BaselineCharacteristic,'xx (xx–xx)','No. patients (n = xx) ; ',None,None,2,1,3,yes
4113,3128267,Table 1,BaselineCharacteristic,xx,'Patient I ; ','Age (years)',None,1,1,3,yes
4113,3128267,Table 1,BaselineCharacteristic,xx,'Patient II ; ','Age (years)',None,1,2,3,yes
4246,3165084,'Table 1',BaselineCharacteristic,xx,'Number(percent) ; xx(xxx) ;  ; ','Age in years (median)',?,3,1,?,yes
4246,3165084,'Table 1',BaselineCharacteristic,xx–xx,'Number(percent) ; xx(xxx) ;  ; ',?,?,4,1,?,yes
4375,3195264,'Table 1',BaselineCharacteristic,'x.x ±x.x (x.x–xx.x)','Iobitridol xxx (n?=?xx) ; ',?,' Baseline characteristics',2,1,3,yes
4375,3195264,'Table 1',BaselineCharacteristic,'x.x ±x.x (x.x–xx.x)','Iodixanol xxx (n?=?xx) ; ',?,' Baseline characteristics',2,2,3,yes
4375,3195264,'Table 1',BaselineCharacteristic,'x.x ±x.x (x.x–xx.x)','Total (n?=?xxx) ; ',?,' Baseline characteristics',2,3,3,yes
4428,3208500,'Table 1',BaselineCharacteristic,xx,'Number of patients ; ',?Mean,' Age (years)',8,1,3,yes
4428,3208500,'Table 1',BaselineCharacteristic,xx–xx,'Number of patients ; ',?Range,' Age (years)',9,1,3,yes
4585,3247194,'Table 1',BaselineCharacteristic,'xx.x (x.x)','COPD Subjects ; xxx ;  ; ',None,None,3,2,?,yes
4585,3247194,'Table 1',BaselineCharacteristic,'xx.x (x.x)','Smoker Controls ; xx ;  ; ',None,None,3,3,?,yes
4585,3247194,'Table 1',BaselineCharacteristic,'xx.x (x.x)','Non-smoker Controls ; xx ;  ; ',None,None,3,4,?,yes
4733,3285050,'Table 1',BaselineCharacteristic,'xx (xx-xx)',?,'Age (years)',None,0,2,3,yes
4908,3338391,'Table 1',BaselineCharacteristic,xx.x,'Study sites ;  ; High transmission ;  ; Ampasimanjeva ; xxx ;  ; ',None,None,7,1,?,yes
